key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
infusion,djani,KM -> FR,D,n. fem.,djani,,,,,https://pixabay.com/get/gb554ba2fecf74ad3ee2cd366d6b6512e2048507e220066e0194f89ce2fb94804fb6380fd9884ef4b33f4a0839fe63b2f4c2a762ad4ed085e21883fae366358d6_640.jpg,https://cdn.pixabay.com/photo/2017/09/04/18/39/coffee-2714970_150.jpg
ingrat,mla hasana,FR -> KM,I,adj.,hasana,,,,,,
ingredients,maâɗini; zana,FR -> KM,I,,,,,,,,
ingredients ; matières premières,maâɗini,KM -> FR,M,,,,,,,,
ingredients ; épices,zana,KM -> FR,Z,,,,,,,,
inhaler,hosa (u-) embua,KM -> FR,H,v.,embua,,,,,https://pixabay.com/get/g1dc6c7591387c776a9e74098b9fc1d4da2350074f0d7d83dff46f7be720d5849ec15b1c3090ec69d27f0de93d0e52f3bb6a38fbe5047143822b35d65fec66caf_640.jpg,https://cdn.pixabay.com/photo/2021/02/16/21/48/woman-6022486_150.jpg
initiative,âzma,KM -> FR,A,n. fem.,âzma,,,,,https://pixabay.com/get/g6ffa253accb5c284faf4f788854ffa728c727fe5e8117c245506df068e9f6280ed1b4936f47d97076e86bbfa34167d6cd0d2e4348d9a2da6fbe96cb467650554_640.jpg,https://cdn.pixabay.com/photo/2017/02/07/13/47/live-your-dream-2045928_150.jpg
initier,"ɓaî (u-), ɓaîsha (u-)",FR -> KM,I,v.,uɓaîsha,,,,,https://pixabay.com/get/ga728176fa59f3c12b91106e5d21f2969e6ab3beccb89e7b557ee759357aadf9f2679eb860c480676a72fdc6a2a0305aca6d525484baab293b9f7124d1be7a8f2_640.jpg,https://cdn.pixabay.com/photo/2017/02/07/13/47/live-your-dream-2045928_150.jpg
injure,mlapizo,FR -> KM,I,n. fem.,mlapizo,,,,,,
injurier,lapiza (u-); lihidza (u-),FR -> KM,I,v.,ulapiza,ulihidza,ulihidza,,,https://pixabay.com/get/ge2353af9b75ba7e971af0aaf1bf4961fbaa09557891c100764ae8bae0eb124a05a6689b0cc7a07644c86db03cac0fafdeb75e3e4c9f7258f173853cef52a35c9_640.jpg,https://cdn.pixabay.com/photo/2020/07/15/07/47/rocker-5406776_150.jpg
injuste (pers.),mdhulumifu,FR -> KM,I,adj. subst.,mdhulumifu,,,,,,
injustice,udhulumifu,FR -> KM,I,n. fem.,udhulumifu,,,,,,
innocent (être -),twahariha (u-),FR -> KM,I,v.,utwahariha,,,,,,
inondation,nyantsuzi,FR -> KM,I,n. fem.,,nyantsuzi,,,,https://pixabay.com/get/g4afdbc7d7a06598e76d327c2ab228ca4d9fc3ff10b022c5363db146570a089603d084980bd3cb4fd2ab268939cb98dd3daf204c91a3eab57c76bf4db40206083_640.jpg,https://cdn.pixabay.com/photo/2016/11/08/05/26/woman-1807533_150.jpg
insalubrité,ucanfu; ucafi,FR -> KM,I,n. fem.,ucanfu,ucafi,,,,,
insecte,bibi,KM -> FR,B,n. masc.,bibi,,,shiɓiɓi,,https://pixabay.com/get/gc361aaaf7a7d29dca028d46044be1df9b475d21edeb748e651b14070fd8d8f73043661f51a2abc9fef6df9df35ed911c_640.jpg,https://cdn.pixabay.com/photo/2012/03/01/00/55/garden-19830_150.jpg
insignifiant,mafitsi,FR -> KM,I,adj.,mafitsi,,mafitsi,mafitsi,,https://pixabay.com/get/g2000026d8f23efad1407c14ba3713064df07dfbe75558599568c1cd766f98f873893fe9aa6c33ce11ccb1fb89827b1019a0195d0eef278731984b608f3d87496_640.png,https://cdn.pixabay.com/photo/2016/03/12/18/31/depression-1252577_150.png
insignifiant; futile; bêtises,mafitsi,KM -> FR,M,adj.,mafitsi,,mafitsi,mafitsi,,,
insistance,usisindrivu,FR -> KM,I,n. fem.,usisindrivu,,,,,,
insister,sisindria (u-),FR -> KM,I,v.,usisindria,,,,,,
insolent,mdjaɓari,FR -> KM,I,n. masc.,mdjaɓari,,,,,https://pixabay.com/get/g31f8d5ee793c68c1e0dd7a055e899c4bd6ae6d7b61cd22490c5cb57b32b358108cfdbc31a655869ec46a847bf49087085ac0e907f540d583bad7b9ca90b33ef4_640.jpg,https://cdn.pixabay.com/photo/2018/01/24/18/56/woman-3104518_150.jpg
instituteur,fundi,FR -> KM,I,n. masc.,fundi,fundi,fundi,fundi,1.0,,
institutions,sharia mshindzi,FR -> KM,I,n.,mshindzi,mshindzi,mshindzi,mshindzi,1.0,https://pixabay.com/get/g1a0d950efa9c81eca6411fc95934264e04a30072363291d9e5b9cca7c500b2a9359060f8dacbfb177592cc3a7f5fea05_640.jpg,https://cdn.pixabay.com/photo/2015/08/29/20/21/safe-913452_150.jpg
instruction,ylimu,FR -> KM,I,n. fem.,ylimu,,,,,,
instruire,fundra (u-),KM -> FR,F,v.,uylimisha,ufundra,ufundra,,,,
instruire (s'-),fundriha (u-),FR -> KM,I,v. tra.,,,ufundriha,,,https://pixabay.com/get/gce85786a5de060ef83c040f0dc7fec00d24a0f865b55d25356f4fbf104b874a57c9655042b0808de1de3284a7b83c036cc933a83b912674b3a560fe7e0089dd5_640.jpg,https://cdn.pixabay.com/photo/2016/10/16/21/23/makeup-brush-1746322_150.jpg
instruire (s'-); étudier,fundriha (u-),KM -> FR,F,v. tra.,,,ufundriha,,,https://pixabay.com/get/g9b6d0b1958f3220a9edd01a0bc4a72f52b832b657fa78ffa3b478be00a526479153039b9f801b45053b3617085239987099225c76db27d087c5052e7d7bec839_640.jpg,https://cdn.pixabay.com/photo/2016/10/16/21/23/makeup-brush-1746322_150.jpg
instruire; former,ylimisha (u-),KM -> FR,Y,v.,uylimisha,ufundra,ufundra,,,,
instrument,oda,FR -> KM,I,n. masc.,,oda,,,,https://pixabay.com/get/gce329b3bff7c86c96abdf8bbdf139cb5badb49540a0502fbd5c0d0d0b91c9833531ed2f76d0d566572df0d1f005222d6a8cb7489c4e04a064a1171572c1f4c3b_640.jpg,https://cdn.pixabay.com/photo/2016/09/08/21/09/piano-1655558_150.jpg
instrument (de musique),ala,KM -> FR,A,n. masc.,ala,,,,,https://pixabay.com/get/g7cd79b073218a8cb6252b5a41224c048f2656639a970a383390e3f5a906954fc203e7afdb610d56fb7d192363f6022371afa6e9bdfb21a305e3ffbaef824f6e4_640.jpg,https://cdn.pixabay.com/photo/2016/09/08/21/09/piano-1655558_150.jpg
insuffisance,umavu,FR -> KM,I,n. fem.,umavu,,,,,https://pixabay.com/get/gbf71d5f83fd92819a4159b425b237677717f2e9c4bf3e780d33140d6b1ba2f17bdd47a58e29b085bcdc193a9a5e1be23e8c3c28d58b4070d6a6c83a07ebc7561_640.jpg,https://cdn.pixabay.com/photo/2016/10/21/14/56/railway-1758208_150.jpg
insuffisance; lacune,umavu,KM -> FR,U,n. fem.,umavu,,,,,,
insulte,hiɗwa,KM -> FR,H,n. fem.,hiɗwa,shilihidzo,shilidzo,,,https://pixabay.com/get/gb0c81d4edd11e3bdc1974852bbc053bb5f81aed0e022a2e6d71c580b61a0ba60ef543ec9b0087aa13b5c206a5aca1877_640.png,https://cdn.pixabay.com/photo/2013/07/12/15/19/middle-finger-149667_150.png
insulter,ɗea (u-); lahua (u-); nazi (u-); lihidza (u-); ruhana (u-),FR -> KM,I,v.,ulahua,unazi,uruhana,uɗea,,https://pixabay.com/get/g36cbd7f37a6bb46fe6cb9196f0b48afee3dc1afc3705293eca7d0b3edb1055c42b0a0dc79b9168aad8befa21dd543e46c60802e3c86c9f255203217f9bb64153_640.jpg,https://cdn.pixabay.com/photo/2016/11/04/10/30/character-1797362_150.jpg
insulter; injurier,lihidza (u-),KM -> FR,L,v.,ulahua,unazi,uruhana,uɗea,,https://pixabay.com/get/g4f1cd0d0bb21c2a08a05ec12dedf1899d1394a7639d4f1c3c6f67c6f64247374fdac9c6f4172ac230adeb69c0f413360137c3d456a8200918ac5082dc511cfec_640.jpg,https://cdn.pixabay.com/photo/2020/07/15/07/47/rocker-5406776_150.jpg
inséparable à tête grise,mpwayi,FR -> KM,I,loc. n. masc.,mpwayi,,,,,,
intelligence,âkili,KM -> FR,A,n. fem.,âkili,âkili,âkili,âkili,1.0,https://pixabay.com/get/g9744ce6d454fee6bb1e3fc86fb0b5ff9e9104fe9962f1824a1b70a6f1d2d96b78b2e2c61701706fe28cc09473c2369de733947ba1ce4dff2b03746b1da127b57_640.jpg,https://cdn.pixabay.com/photo/2018/05/08/08/44/artificial-intelligence-3382507_150.jpg
intelligent,-hodari; muhodari,FR -> KM,I,adj.,-hodari,-hodari,-hodari,-hodari,1.0,https://pixabay.com/get/gb62b662147220680e1e3487ba32021755fcb03f29464ffd4362283a42dac1d21503f0f66a2282be0e83cbfbc5d40c62c_640.jpg,https://cdn.pixabay.com/photo/2015/02/02/11/09/office-620822_150.jpg
intense,-hali,FR -> KM,I,adj.,-hali,-hali,-hali,-hali,1.0,https://pixabay.com/get/g2d1cf44f7d2c90b46eb7370db52dc0375c1cd042bb4982215c31c09784e273f2bdbde9e97f2bd664afaa0f40ca59a459_640.jpg,https://cdn.pixabay.com/photo/2015/03/14/19/45/suit-673697_150.jpg
intensifier,trafuka (u-),FR -> KM,I,v.,,,utrafuka,,,https://pixabay.com/get/g0390f9ce312601e8cb51775671d6ec55ffbff0c67efb19c231224a3a31635b46df313e3b063f8d88ec39851a0827c9e76d5911b199fac5d9a0f121860374d78f_640.jpg,https://cdn.pixabay.com/photo/2020/10/02/06/45/stairs-5620363_150.jpg
intention,nia; kusudi; kusuɗi; makusudi,FR -> KM,I,n. fem.,nia,nia,nia,nia,1.0,https://pixabay.com/get/g203f34d59ab89b78814af83e4a35019381a5d90a5d264ba665217ad8f0f4a55c543f41eb69c528fdf4403a85aaaf8ac9_640.jpg,https://cdn.pixabay.com/photo/2014/06/14/10/02/road-368719_150.jpg
intention; exprès,kusuɗi,KM -> FR,K,n. fem.,nia,nia,nia,nia,1.0,,
intention; volonté,nia,KM -> FR,N,n. fem.,nia,nia,nia,nia,1.0,,
interdiction,mharazo,FR -> KM,I,n. fem.,mharazo,,,,,https://pixabay.com/get/gb214807ee1c5a8266f74141ed2e848cab469eb1dac221e570a092ceddd89428a04214a70990b00314d965f95aeab32e4aa03aebe938817184748602099efa9a4_640.jpg,https://cdn.pixabay.com/photo/2020/05/15/18/46/corona-5174671_150.jpg
interdire,haraza (u-),KM -> FR,H,v.,uharaza,uɓalidza,,uɓalidza,,https://pixabay.com/get/g9b471ecbbb0d6967d9784e09396002cb34657ed9ca45c5574b1925faec2ae819a9ea35f4311eba82f22415c2f386842bde51cb15a9d09da56bd08589c40eb689_640.jpg,https://cdn.pixabay.com/photo/2020/05/15/18/46/corona-5174671_150.jpg
interdit (alimentaire),faɗi; miko,FR -> KM,I,part. pass. adj. n. masc.,miko,miko,miko,miko,1.0,https://pixabay.com/get/g5afdb3e193f92d991214285f2acb0821a8ecf4fd32e2625d3c4e5eab90e0f042edb9d7b61871060f895874544a724be5_640.png,https://cdn.pixabay.com/photo/2012/04/24/12/29/no-symbol-39767_150.png
interdit (alimentaire); tabou,faɗi,KM -> FR,F,part. pass. adj. n. masc.,miko,miko,miko,miko,1.0,https://pixabay.com/get/g7403682dfb99fbe58ffb9a7c4e17048653538f1fd4b057e980e3f75dc657a80411f5be04c7a8b4e406579230eb3b6fba_640.png,https://cdn.pixabay.com/photo/2012/04/24/12/29/no-symbol-39767_150.png
interdit (alimentaire); tabou; allergie,miko,KM -> FR,M,part. pass. adj. n. masc.,miko,miko,miko,miko,1.0,,
interdit (divin),haramu,FR -> KM,I,part. pass. adj. n. masc.,haramu,haramu,haramu,haramu,1.0,https://pixabay.com/get/g871fc7cf7344fd7dcc3a002fff0ba158f2f05096ab3aef3b67283b11174a5204985f578570bf17fb4ec36e8d063906f2_640.png,https://cdn.pixabay.com/photo/2012/04/24/12/29/no-symbol-39767_150.png
interdit (divin); illicite; illégitime,haramu,KM -> FR,H,part. pass. adj. n. masc.,haramu,haramu,haramu,haramu,1.0,https://pixabay.com/get/gef5d4da4c18f713702af4e54fc35d908cf0cdca90efe48e1e84a0e30b29dd605ca533bf91136c1360a49bec43607de72_640.png,https://cdn.pixabay.com/photo/2012/04/24/12/29/no-symbol-39767_150.png
interprète,mufasiri,FR -> KM,I,n.,,,mufasiri,,,,
interrupteur,ipatso,FR -> KM,I,n. masc.,ipatso,,,,,https://pixabay.com/get/g749a677d96b7ce154cc1f559aae5317d3a23a8d6d4db0abfc2d2fc90690051081ec70313c5b233880f19b28f55cb7741115de82557fb3851111bfe49677fbbf3_640.jpg,https://cdn.pixabay.com/photo/2017/11/17/09/37/businessman-2956974_150.jpg
intersection,ziraru,FR -> KM,I,n. masc.,ziraru,,ziraru,,,https://pixabay.com/get/g0475fc33808fbeb5f4731eb11fe7db2229108719f258c2a8952ef23be0776ac536716c8edb356b95ab0662f15ca820d78507969e06690d8a84f8d8633cb0fe7d_640.jpg,https://cdn.pixabay.com/photo/2016/11/23/15/32/pedestrians-1853552_150.jpg
intervenir (en parlant de Dieu),djaâlia (u-),FR -> KM,I,v.,udjaâlia,udjaâlia,udjaâlia,udjaâlia,1.0,https://pixabay.com/get/g6d50c6fa9d0752c25703730e510b4e0097070a236a78f0ccfcb1e6dd326889251f6fb3b0e1e76ba9f9e16fcbcb60ea7ce50b65c3c0a22d9e463874379d8eef8f_640.png,https://cdn.pixabay.com/photo/2016/11/16/14/38/stop-1829082_150.png
intervenir (en parlant de Dieu); permettre (en parlant de Dieu); exaucer,djaâlia (u-),KM -> FR,D,v.,udjaâlia,udjaâlia,udjaâlia,udjaâlia,1.0,https://pixabay.com/get/g500cbc788ad902b4b4b2aa981f516053332617e0fe120e16574b80fab168459e3ad6011718e1abec0278925d0a57a9164ce5684ddaeb7e3f91ccacf04df4068f_640.png,https://cdn.pixabay.com/photo/2016/11/16/14/38/stop-1829082_150.png
intestin,trumbo,FR -> KM,I,n. masc.,trumbo,,trumbo,,,https://pixabay.com/get/g29ea9612fbed65e71464b7e730748e648c81a2895871d41a90e5401a2d418d88e5c72efccfb5b98998b32408ef0ccad013224564230a8600d14d7d1919068edf_640.jpg,https://cdn.pixabay.com/photo/2017/04/25/22/22/anatomical-2261006_150.jpg
intestin; entrailles,trumbo,KM -> FR,T,n. masc.,trumbo,,trumbo,,,https://pixabay.com/get/gf6ee4d0b5ecb71b6e51830b52c84e4e00d052f8d29bbb890c3a611ff90812c2fe4fb4b36b51e82a9cea5f44743a84350_640.png,https://cdn.pixabay.com/photo/2013/07/13/12/52/anatomy-160524_150.png
intime,-a kinafsia,FR -> KM,I,adj.,kinafsia,,,,,https://pixabay.com/get/gb4b92a7b363d21efe588d205555efdd342e795b655b38dff68b9b4e05f6a01c88a445c78632aca16f5ff22812fcf6618b60435c0551f2cb5f0819da4bdb3d6f7_640.jpg,https://cdn.pixabay.com/photo/2018/01/11/21/27/desk-3076954_150.jpg
intime; personnel,-a kinafsia,KM -> FR,A,adj.,kinafsia,,,,,https://pixabay.com/get/g08ba69d1103bf48385aaf4a5ee95e39bc24fdb7887dfa200c4442e0f775d11838cae2f4939709eadb67389badbe69a9689fc409cf3024c64bcca8ef0d425fd95_640.jpg,https://cdn.pixabay.com/photo/2017/01/01/20/32/book-1945499_150.jpg
intimité,sitara,FR -> KM,I,n. fem.,sitara,,sitara,sitara,,https://pixabay.com/get/g6acf8855dad177a4a448cccaa861f3b112434633be5ead48a7871ec82a7d0707f845409dc74bee24fffc859c0f33bf89da9698064744d99b9150604f891a7c32_640.jpg,https://cdn.pixabay.com/photo/2018/10/24/19/58/babys-hand-3771123_150.jpg
intimité; secret,sitara,KM -> FR,S,n. fem.,sitara,,sitara,sitara,,,
intrigue,iɓwatra,FR -> KM,I,n. fem.,iɓwatra,,,,,https://pixabay.com/get/g4d69319a9d7185a52513bdec7e7344cca30cd467922173a6e8ba468a7c4627ef329d930faeadf0d6d7d2f70d791059cb9881f8af76e9112b8f30eb6a91ba613e_640.jpg,https://cdn.pixabay.com/photo/2018/01/23/12/21/ice-3101338_150.jpg
introduire,ndjiza (u-),FR -> KM,I,v.,undjiza,,,,,https://pixabay.com/get/gaf17f14a109f3dd7b6f5ef6f6351a819b7d1041f924bb9fc175ded0db973eae995e18c5c761f9b8dd016d31fc79b8a97_640.jpg,https://cdn.pixabay.com/photo/2014/08/29/19/02/smartphone-431230_150.jpg
intégralité,djumla,KM -> FR,D,n. fem.,djumla,,,,,,
intérieur,nɗani; ndrani,FR -> KM,I,n. masc.,nɗani,ndrani,,,,https://pixabay.com/get/g9bd5f47e5f3d52ed64b56664390ee45bc41b0ed71dc0401a77672d5a6e5ff5e431fa5dc10a8b98651098549376fab2717dec00f93c778a6d5a1467541f0b6c14_640.jpg,https://cdn.pixabay.com/photo/2016/11/18/17/20/living-room-1835923_150.jpg
intérieur; appartement,ndrani,KM -> FR,N,n. masc.,nɗani,ndrani,,,,https://pixabay.com/get/g622633d5122b014fdf41ee1dca4fa546cba7b0e90a226420869060959d1522d6ef1c06c9045ca24b9c55e1f9f42963b68097e7008c4e982f65a5fb7e8f680262_640.jpg,https://cdn.pixabay.com/photo/2016/11/18/17/20/living-room-1835923_150.jpg
intérêt,faiɗa,FR -> KM,I,n. masc.,faiɗa,faiɗa,faiɗa,faiɗa,1.0,,
intérêt usuraire,riɓa,FR -> KM,I,,,,,,,,
intérêt usuraire ; usure,riɓa,KM -> FR,R,,,,,,,,
intérêt; profit,faiɗa,KM -> FR,F,n. masc.,faiɗa,faiɗa,faiɗa,faiɗa,1.0,https://pixabay.com/get/gfbb0c8dfca54ce1446a97b447fd96954128125ab1e565d54ba55c7aaf0176c37fb95f72739a17ca80d891c051971ceb1_640.jpg,https://cdn.pixabay.com/photo/2012/02/28/10/20/achievement-18134_150.jpg
inutile,ɓatwala; ɓure,FR -> KM,I,adj.,ɓure,ɓure,ɓure,ɓure,1.0,,
invalide (pers.),irewe,FR -> KM,I,adj. subst.,irewe,,,,,https://pixabay.com/get/g6216702e8f64e0611e52f43e5b72ac65f472226796a348b5250a863d86bb24bb1c4d600f1557bc3f3c927bb32937c08d5a6845b4453011e8a4f7117e1c751457_640.jpg,https://cdn.pixabay.com/photo/2017/05/08/19/07/stormtrooper-2296199_150.jpg
invalide (pers.); handicapé; infirme,irewe,KM -> FR,I,adj. subst.,irewe,,,,,https://pixabay.com/get/gb455a67208ffbbe8ba3ac16b26f1dce7d136151519ecb8fabfb5b2f2660df80821179307dd67d1bde4f9136c27c0ead09f0be3fe66f588f3169bc071cdfe64ab_640.jpg,https://cdn.pixabay.com/photo/2017/05/08/19/07/stormtrooper-2296199_150.jpg
invasion,mvamio,FR -> KM,I,n. fem.,mvamio,,,,,https://pixabay.com/get/gaf677cc027fe7000faf39dbc6c08290625d392b6386ff9256eb805b7fadc85cf71b6790928e4f145fab2d6cb4646f67d5aac92058219400c5be4df8e886b9351_640.jpg,https://cdn.pixabay.com/photo/2016/11/15/07/09/photo-manipulation-1825450_150.jpg
inventer,trunga (u-),FR -> KM,I,v.,utrunga,utrunga,utrunga,utrunga,1.0,https://pixabay.com/get/g04efc7b5e18ff79a14c519b63b8065eba45dfa65ea5a93c73ed06abb193a077a4f1410bae03e1abec1deef5f77774233db64906475954594c8f039124c21f32d_640.jpg,https://cdn.pixabay.com/photo/2019/09/29/22/06/light-bulb-4514505_150.jpg
invention,mtrungo,FR -> KM,I,n. fem.,mtrungo,,,,,,
invitation,mhudhurisho; mlaliko,FR -> KM,I,n. fem.,mlaliko,mlaliko,mlaliko,mlaliko,1.0,https://pixabay.com/get/g40c0a10869b252971b47a32a2f96d95036fe8cca09299b182462345b37414da3575094d1c1e5fa5004a214871416ddc6e9088cba0b90a87e8f52593cbcab6824_640.png,https://cdn.pixabay.com/photo/2017/01/12/06/26/flowers-1973875_150.png
inviter,hudhurisha (u-),KM -> FR,H,v.,ulalikiha,ulalikiha,ulalikiha,ulalikiha,1.0,https://pixabay.com/get/gdb5f8bb0e9f641117f07a5ddfd8aa24921af7ce08517cd922b298685b6474322dc1015d0a67192543d6eebee5757b28f19f3aebcb24a24b78ca64b05ccb41999_640.png,https://cdn.pixabay.com/photo/2017/01/12/06/26/flowers-1973875_150.png
inviter; convier,lalika (u-),KM -> FR,L,v.,ulalikiha,ulalikiha,ulalikiha,ulalikiha,1.0,,
invité,mdjeni; mudjeni,FR -> KM,I,adj. n. masc.,mdjeni,mdjeni,mdjeni,mdjeni,1.0,,
invité; étranger,mudjeni,KM -> FR,M,adj. n. masc.,mdjeni,mdjeni,mdjeni,mdjeni,1.0,https://pixabay.com/get/g53b8f05375afd0084abd34d021219cc09bbc4c62c4b10b56ca3f7e7a97fbe7747b98d15743c55cbf733670b84e16c144bb79e5fa14fe3e2faef18cf82f0ce120_640.jpg,https://cdn.pixabay.com/photo/2017/10/15/09/53/close-encounters-of-the-3rd-degree-2853070_150.jpg
invocation,duan,KM -> FR,D,n. fem.,duan,duan,duan,duan,1.0,https://pixabay.com/get/ged41eecf832d48b56a98b67c8a2b280c1fddc384c33cfc09d0ee899a4c0c1d4bc72214f363bff8bdb8dbad2c7a387ac4383462f2b305de218111240546b830e4_640.jpg,https://cdn.pixabay.com/photo/2019/07/30/15/46/summon-4373257_150.jpg
invoquer,himiɗia (u-),KM -> FR,H,v.,uhimiɗia,,,,,https://pixabay.com/get/g747f69e28e3e1afb2e3c2517fad346cf0ec84ebdd97f844c3b337b2ace672b7579852abd544e706210e90d9e7d7dcdef9f08f8e476faeb52fcfc803319669943_640.jpg,https://cdn.pixabay.com/photo/2021/01/27/05/45/elf-5953720_150.jpg
irrespect,aɗaɓu nfu,KM -> FR,A,n. masc.,nfu,,,,,,
irrespectueux,mdjewiri,FR -> KM,I,adj.,mdjewiri,,,,,,
irriter,wawa (u-); kasiri (u-),FR -> KM,I,v.,uwawa,ukasiri,uwawa,uwawa,,https://pixabay.com/get/g214d3f1ff285db43c2c4e85a98866e223957580a0a15d540f48eed0fc8f6ab9c716344768589b807a4e58b5c1e9785b3_640.jpg,https://cdn.pixabay.com/photo/2014/04/05/11/06/people-314481_150.jpg
irriter; piquer,wawa (u-),KM -> FR,W,v.,uwawa,ukasiri,uwawa,uwawa,,https://pixabay.com/get/gf0989e3d2348132fc3e015db4df06962300105cfa59c1e7b3cb717ef4e7d8ff9783eedec14e00ccc4128f234f282330c_640.png,https://cdn.pixabay.com/photo/2014/04/02/10/41/man-304250_150.png
islam,isilamu,FR -> KM,I,n. masc.,isilamu,isilamu,isilamu,isilamu,1.0,https://pixabay.com/get/g6ee73f3ac54484f4b055b4c9cdca6e81aa8ff3991b836571fa699d405e84ac90f2aadd215025b49f55e046d8eaa42688_640.jpg,https://cdn.pixabay.com/photo/2015/01/28/23/10/mosque-615415_150.jpg
isolement,mdjikayo,FR -> KM,I,adv.,mdjikayo,,,,,https://pixabay.com/get/gc4c626d3e840b5bb1a0b3006a35f77b729458993da1ac7b5210f8727a6ad0cf3d489e54667f78d6ad1efde9d1774d68c_640.jpg,https://cdn.pixabay.com/photo/2012/03/01/01/42/hands-20333_150.jpg
isoler,djikaya (u-),KM -> FR,D,v. tra.,udjikaya,,,,,https://pixabay.com/get/g9b31b95c7904eb4eaa544801990772dd16c5fc076ef4e72f6c5f630d585d2c08d3f13ff54138e31f18f4eac0b9e3a1f7_640.jpg,https://cdn.pixabay.com/photo/2012/03/01/01/42/hands-20333_150.jpg
isolé (pers.),mtoshe,FR -> KM,I,part. pass. adj.,mtoshe,,,,,,
ivre (être -),lewa (u-),FR -> KM,I,v.,ulewa,ulewa,ulewa,ulewa,1.0,,
ivre (être -); saouler,lewa (u-),KM -> FR,L,v.,ulewa,ulewa,ulewa,ulewa,1.0,,
ivresse,ulevi,FR -> KM,I,n. fem.,ulevi,,ulevi,,,,
ivrogne,mlevi,FR -> KM,I,n. masc.,mlevi,mlevi,mlevi,mlevi,1.0,,
jacquier,mfenesi; mufenesi,FR -> KM,J,n. masc.,mfenesi,,mufenesi,,,,
jadis,aswili; hale,FR -> KM,J,adv.,hale,hale,hale,hale,1.0,,
jaillir,fushia (u-),KM -> FR,F,v.,ufushia,ufushia,,,,,
jalousie,ngoma; wivu,FR -> KM,J,n. fem.,ngoma,ngoma,ngoma,ngoma,1.0,,
jamais,aɓaɗan,KM -> FR,A,adv.,-paro-,-paro-,-paro-,-paro-,1.0,,
jambe,mundru,FR -> KM,J,n. fem.,,mundru,mundru,mundru,,,
janvier,Jâvye,FR -> KM,J,n. masc.,Jâvye,,Jâvye,,,,
jaque,fanasi,KM -> FR,F,n. masc.,fenesi,fanasi,fenesi,fenesi,,,
jardin,zarde,FR -> KM,J,n. masc.,,,zarde,,,,
jarre,mtsundji; ɓia,FR -> KM,J,n. fem.,mtsundji,ɓia,ɓia,,,,
jasmin,âfu,KM -> FR,A,n. masc.,âfu,âfu,âfu,âfu,1.0,,
jaune,dzindzanu; ndzindzano,FR -> KM,J,adj.,ndzindzano,ndzindzano,ndzindzano,ndzindzano,1.0,,
jaune d'oeuf,ndzindza,FR -> KM,J,n. masc.,ndzindza,,,,,,
javanais,shintiri,FR -> KM,J,adj.,shintiri,,,,,,
jean,buldjini,KM -> FR,B,n. masc.,,buldjini,,,,,
jet,mvurizo,FR -> KM,J,n. masc.,mvurizo,,,,,,
jeter,latsa (u-); vuriza (u-); vutsa (u-),FR -> KM,J,v.,uvutsa,uvutsa,uvutsa,uvutsa,1.0,,
jeter un sort,fanya (u-) masahiri,FR -> KM,J,,,,,,,,
jeter à,vutsia (u-),FR -> KM,J,v.,,,uvutsia,,,,
jeter; passer (faire -),vutsa (u-),KM -> FR,V,v.,uvutsa,uvutsa,uvutsa,uvutsa,1.0,,
jeton,ntsu,FR -> KM,J,n. masc.,ntsu,,,,,,
jeu de bao,mraha,FR -> KM,J,n. masc.,,,mraha,,,,
jeu de hasard,mluka,FR -> KM,J,n. masc.,mluka,,,mluka,,,
jeudi,yahoa,FR -> KM,J,n. masc.,yahoa,yahoa,yahoa,yahoa,1.0,,
jeune,shaɓaɓi; mna-idjana; mwanamtsa,FR -> KM,J,n. fem.,shaɓaɓi,shaɓaɓi,shaɓaɓi,shaɓaɓi,1.0,,
jeune fille,mndrwamararu,FR -> KM,J,n. fem.,mndrwamararu,,,,,,
jeune; adolescent,shaɓaɓi,KM -> FR,S,n. fem.,shaɓaɓi,shaɓaɓi,shaɓaɓi,shaɓaɓi,1.0,,
jeunesse,ushaɓaɓi; unatsa,FR -> KM,J,n. masc.,ushaɓaɓi,unatsa,ushaɓaɓi,,,,
jeunesse; adolescence,ushaɓaɓi,KM -> FR,U,n. masc.,ushaɓaɓi,unatsa,ushaɓaɓi,,,,
jeûne,tsumu,FR -> KM,J,n. fem.,shaɓaɓi,shaɓaɓi,shaɓaɓi,shaɓaɓi,1.0,,
jeûner,funga (u-),FR -> KM,J,v.,ufunga,ufunga,ufunga,ufunga,1.0,,
joie,furaha,KM -> FR,F,n. fem.,furaha,furaha,furaha,furaha,1.0,,
joindre,unganya (u-); unga (u-),FR -> KM,J,v.,uunganya,uunga,uunga,,,,
joindre; assaisonner; saucer; semer,unga (u-),KM -> FR,U,v.,uunganya,uunga,uunga,,,,
joker,mzinga,FR -> KM,J,n. masc.,mzinga,,,,,,
joker; arme à feu,mzinga,KM -> FR,M,n. masc.,mzinga,,,,,,
joli,-a truru,KM -> FR,A,adj.,truru,truru,truru,truru,1.0,,
joli; beau,-zuri,KM -> FR,Z,adj.,truru,truru,truru,truru,1.0,,
jouable (être -),riha (u-),FR -> KM,J,v.,uriha,,,,,,
joue,travu; savu,FR -> KM,J,n. fem.,travu,savu,savu,,,,
