key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
me; m'; vous,-m-,KM -> FR,M,pron. pers.,-ni-,-ni-,-ni-,-ni-,1.0
mec,ɓako,FR -> KM,M,n. masc.,,ɓako,ɓako,ɓako,
meilleur,ndjema,FR -> KM,M,adv.,ndjema,ndjema,ndjema,ndjema,1.0
melon,triki; pwepwera; trihiri,FR -> KM,M,n. masc.,,triki,trihiri,pwepwera,
membre,ziungo; shiga; ningo,FR -> KM,M,n. masc.,ziungo,ningo,shiga,ziungo,
mendiant,mmizi; mmezi,FR -> KM,M,subst. adj.,mmizi,mmizi,,mmizi,
mendicité,umizi; umezi,FR -> KM,M,n. fem.,umizi,umizi,,umizi,
mendier,kirimu (u-),KM -> FR,K,v.,umia,umia,umia,umia,1.0
mener un troupeau,trusa (u-),FR -> KM,M,v.,utrusa,utrusa,utrusa,utrusa,1.0
mener un troupeau; faire partir,trusa (u-),KM -> FR,T,v.,utrusa,utrusa,utrusa,utrusa,1.0
meneur,mwongozi,FR -> KM,M,n. masc.,mwongozi,mwongozi,mwongozi,mwongozi,1.0
menotte,silisili; nkunku,FR -> KM,M,n. fem.,silisili,,silisili,nkunku,
menotter,pvatsa (u-),FR -> KM,M,v.,upvatsa,,,,
menotter; compliquer (qqch); entraver,pvatsa (u-),KM -> FR,P,v.,upvatsa,,,,
mensonge,ndraɓo; ntrambo; tramɓo,FR -> KM,M,n. masc.,ndraɓo,ntrambo,tramɓo,ndraɓo,
mentalité,ɓumɓwa,FR -> KM,M,n. fem.,ɓumɓwa,,,,
menteur,mnafiki; munafiki; zabizabina,FR -> KM,M,adj. n. masc.,mnafiki,,zabizabina,mnafiki,
menteur (grand -),mzabi-zabina; zabizabina,FR -> KM,M,adj. subst.,mzabi-zabina,,zabizabina,,
menteur (grand -); menteur,zabizabina,KM -> FR,Z,adj. subst.,mzabi-zabina,,zabizabina,,
menthe,inana,KM -> FR,I,n. fem.,inana,nana,,,
mentionner,dhukuru (u-),FR -> KM,M,v.,udhukuru,udhukuru,udhukuru,udhukuru,1.0
mentir,amɓa ndraɓo (u-),KM -> FR,A,v.,ndraɓo,,tramɓo,,
mentir (à une femme),katramu (u-),KM -> FR,K,v.,ukatramu,,,,
menton,ilevu,KM -> FR,I,n. masc.,ilevu,,shilevu,,
menuisier,saruma,FR -> KM,M,n. masc.,,saruma,,,
mer,ɓahari,FR -> KM,M,n. fem.,ɓahari,ɓahari,ɓahari,ɓahari,1.0
merci,marahaɓa,FR -> KM,M,n. masc.,marahaɓa,marahaɓa,marahaɓa,marahaɓa,1.0
merci beaucoup,asanta,KM -> FR,A,loc.,asanta,asanta,asanta,asanta,1.0
mercredi,mfumtsanu; mufumotsano; mfumotsano,FR -> KM,M,n. masc.,mfumtsanu,mufumotsano,mufumotsano,mfumotsano,
Mercure (astre),untwariɗi,FR -> KM,M,,,,,,
Mercure (astre) ,untwariɗi,KM -> FR,U,,,,,,
merde aux fesses,viho,FR -> KM,M,n. fem.,viho,,,,
merder,kosewa (u-),KM -> FR,K,v.,upvweza,ukosa,ukosa,ukosewa,
merder; manquer; sécher (cours),puza (u-),KM -> FR,P,v.,upvweza,ukosa,ukosa,ukosewa,
merle,ntsole,FR -> KM,M,n. masc.,,ntsole,,,
mes,zangu; yangu,FR -> KM,M,adj. poss.,,zangu,yangu,,
mes respects !,kwezi,FR -> KM,M,loc.,kwezi,kwezi,kwezi,kwezi,1.0
mes respects !; épervier,kwezi,KM -> FR,K,loc.,kwezi,kwezi,kwezi,kwezi,1.0
message,risala,FR -> KM,M,n. masc.,risala,risala,risala,risala,1.0
messager,ndrume,FR -> KM,M,n. masc.,ndrume,,ndrume,,
messager; mâle; délégation,ndrume,KM -> FR,N,n. masc.,ndrume,,ndrume,,
mesure,ipvimo,KM -> FR,I,n. fem.,shelo,shipvimo,shibaba,,
mesurer,hela (u-),KM -> FR,H,v.,upvima,,uvima,upvima,
mesurer; peser,vima (u-),KM -> FR,V,v.,upvima,,uvima,upvima,
mesureur,ipvimio,KM -> FR,I,n. masc.,ipvimio,,,,
mettre,tria (u-),FR -> KM,M,v.,utria,utria,utria,utria,1.0
mettre au soleil,aniha (u-),FR -> KM,M,,,,,,
mettre au soleil.; étendre,aniha (u-),KM -> FR,A,v.,hwaniha,hwaniha,hwaniha,hwaniha,1.0
mettre d'accord,kuɓaliana (u-),FR -> KM,M,v. tra.,ukuɓaliana,ukuɓaliana,ukuɓaliana,ukuɓaliana,1.0
mettre d'accord; entendre (s'-),kuɓaliana (u-),KM -> FR,K,v. tra.,ukuɓaliana,ukuɓaliana,ukuɓaliana,ukuɓaliana,1.0
mettre en garde,fahamisha (u-),FR -> KM,M,v.,ufahamisha,ufahamisha,ufahamisha,ufahamisha,1.0
mettre en rang,linganyisa (u-); linganisa (u-),FR -> KM,M,loc. v.,ulinganyisa,,ulinganisa,,
mettre longtemps,tavela (u-),FR -> KM,M,v.,utavela,,,,
mi- mois,mtsa-mwezi,FR -> KM,M,n. fem.,mtsa-mwezi,,,,
microbe,ɓungu,FR -> KM,M,n. masc.,ɓungu,ɓungu,ɓungu,ɓungu,1.0
midi,mtsana,FR -> KM,M,n. masc.,mtsana,,,mtsana,
mie,mnonfu,FR -> KM,M,n. fem.,mnonfu,,,,
miel,ndjizi ya nyoshi; ngizi,FR -> KM,M,n. masc.,nyoshi,ngizi,ngizi,ngizi,
miel d'abeilles,ngizi ya nyoshi,FR -> KM,M,n. masc. loc.,,nyoshi,nyoshi,nyoshi,
miette,kenye,KM -> FR,K,n. fem.,ncenye,nkenge,kenye,kenye,
mieux,hairi,KM -> FR,H,adv.,kairi,hairi,ɓora,hairi,
mieux (vaut -),afdhwali,KM -> FR,A,adv.,afudhwali,,afdhwali,,
milan,kozi,FR -> KM,M,n. masc.,,kozi,,kozi,
milieu,hari,FR -> KM,M,n. masc.,hari,hari,hari,hari,1.0
militaire,mwana-djeshi,FR -> KM,M,n. masc.,mwana-djeshi,,,,
militant (un),mwana-shama,FR -> KM,M,adj. subst.,mwana-shama,,,,
"militer (""prendre part"")",renga funvu (u-),FR -> KM,M,v.,funvu,funvu,funvu,funvu,1.0
mille,alfu,KM -> FR,A,adj. inv. subst. inv.,shihwi,alfu,alfu,alifu,
mille pattes,mɓuzi ya Mngu,FR -> KM,M,n.,Mngu,,,,
mimosa,mugu,FR -> KM,M,n. masc.,,mugu,,,
minable,-pvugunfu,FR -> KM,M,adj. subst.,-pvugunfu,,,,
minaret,mnara; munara,FR -> KM,M,n. masc.,mnara,mnara,munara,,
mince,-tsala; -tsaya; -ambamba; mwambamba; mtsala; monvu,FR -> KM,M,adj. interj.,mtsala,-tsaya,mwambamba,,
mince; étroit,-ambamba,KM -> FR,A,adj. interj.,mtsala,-tsaya,mwambamba,,
minceur,utsala,FR -> KM,M,n. fem.,utsala,,,,
minerai,maandini,FR -> KM,M,n. masc.,maandini,,,,
minimum,ukomo,FR -> KM,M,n. masc. adj.,ukomo,ukomo,ukomo,,
minimum; fin,ukomo,KM -> FR,U,n. masc. adj.,ukomo,ukomo,ukomo,,
ministre,waziri,FR -> KM,M,n. masc.,waziri,,waziri,,
ministre; vizir,waziri,KM -> FR,W,n. masc.,waziri,,waziri,,
ministère,wizara,FR -> KM,M,n. masc.,wizara,,,,
minute,ɗakika,FR -> KM,M,n. fem.,ɗakika,ɗakika,ɗakika,ɗakika,1.0
miracle,mundjuza,FR -> KM,M,n. masc.,mundjuza,,,,
Miraj,Miradji,FR -> KM,M,n. masc.,Miradji,Miradji,Miradji,Miradji,1.0
miroir,uɗoo; shiɗo; uɗo,FR -> KM,M,n. masc.,uɗoo,shiɗo,uɗo,,
misanthropie,alahulia,KM -> FR,A,n. fem.,alahulia,,,,
misère,hole,KM -> FR,H,n. fem.,unai,unai,unai,unai,1.0
miséricorde,rehema,FR -> KM,M,n. fem.,rehema,rehema,rehema,rehema,1.0
miséricorde; compassion,rehema,KM -> FR,R,n. fem.,rehema,rehema,rehema,rehema,1.0
mixer,tahani (u-),FR -> KM,M,v.,utahani,utahani,utahani,,
mixer; hacher,tahani (u-),KM -> FR,T,v.,utahani,utahani,utahani,,
mode,mɓina,FR -> KM,M,n. fem.,mɓina,,,,
modeler,panga (u-); swanaîsha (u-),FR -> KM,M,v.,upanga,upanga,upanga,upanga,1.0
modeler; façonner; former,panga (u-),KM -> FR,P,v.,upanga,upanga,upanga,upanga,1.0
modifier,gauha (u-),FR -> KM,M,v. tra.,,,ugauha,ugauha,
modifier; changer (se -),gauha (u-),KM -> FR,G,v. tra.,,,ugauha,ugauha,
modèle,shampa,FR -> KM,M,,,,,,
modèle ,shampa,KM -> FR,S,,,,,,
modérer,poleza (u-),FR -> KM,M,v.,upoleza,,,,
modérer; ralentir; calmer (faire -),poleza (u-),KM -> FR,P,v.,upoleza,,,,
moelleux,ntrembere; ɓwerete,FR -> KM,M,adj.,,ntrembere,ɓwerete,,
Mohéli,Mwali,FR -> KM,M,n. prop.,Mwali,Mwali,Mwali,Mwali,1.0
mohélien,shiMwali; muMwali,FR -> KM,M,n. masc. adj.,shiNgazidja,,,shiMwali,
moi,mimi; wami; mi,FR -> KM,M,pron. pers.,wami,wami,wami,wami,1.0
moi aussi,pvangu,FR -> KM,M,loc.,pvangu,,,,
moi seul,wami ce,FR -> KM,M,loc.,ce,,,,
moi-même,wami,FR -> KM,M,loc.,wami,wami,wami,wami,1.0
moi-même; moi,wami,KM -> FR,W,loc.,wami,wami,wami,wami,1.0
mois,mwezi,FR -> KM,M,n. masc.,mwezi,mwezi,mwezi,mwezi,1.0
mois passé,mwezi yapvira,FR -> KM,M,loc.,yapvira,,,,
mois prochain,mwezi udjao,FR -> KM,M,loc.,udjao,,,,
moisir,haha (u-),KM -> FR,H,v.,uhaha,(u-),,,
moisissure,huvu,KM -> FR,H,n. fem.,huvu,huvu,,,
moitié,nusu; mbiɗi; mpindri,FR -> KM,M,n. fem.,nusu,nusu,nusu,nusu,1.0
mollasson,feɗe,FR -> KM,M,n. masc.,feɗe,,feɗe,feɗe,
mollasson; impuissant sexuellement,feɗe,KM -> FR,F,n. masc.,feɗe,,feɗe,feɗe,
molle,debwere,FR -> KM,M,adj.,debwere,debwere,,,
molle; mou,debwere,KM -> FR,D,adj.,debwere,debwere,,,
mollet,mpuhu ya mundru,FR -> KM,M,n. masc.,,mundru,,,
mollusque,nyamare; nyamara,FR -> KM,M,n. fem.,nyamare,nyamara,,,
mollusque; huitre; moule,nyamare,KM -> FR,N,n. fem.,nyamare,nyamara,,,
moment,saya; wakati; muda; muɗa,FR -> KM,M,n. masc.,wakati,wakati,wakati,wakati,1.0
moment; temps,wakati,KM -> FR,W,n. masc.,wakati,wakati,wakati,wakati,1.0
mon,-ahangu; zangu; yangu; langu,FR -> KM,M,adj. poss.,-ahangu,zangu,yangu,,
mon; ma,langu,KM -> FR,L,adj. poss.,-ahangu,zangu,yangu,,
mon; ma; mes,yangu,KM -> FR,Y,adj. poss.,-ahangu,zangu,yangu,,
monde,dunia,KM -> FR,D,n. masc.,dunia,dunia,dunia,dunia,1.0
monde; univers,ulemengu,KM -> FR,U,n. masc.,dunia,dunia,dunia,dunia,1.0
mondial,-a dunia,KM -> FR,A,adj.,,dunia,dunia,dunia,
monnaie,petusi,FR -> KM,M,n. fem.,petusi,,,,
monnaie; teigne,petusi,KM -> FR,P,n. fem.,petusi,,,,
monsieur,ɓwana; mwenye; monye,FR -> KM,M,n. masc.,ɓwana,ɓwana,ɓwana,ɓwana,1.0
monstre,djumu,KM -> FR,D,n. masc.,dzimku,djumu,,,
monstre (poilu),bil-mapuzi,KM -> FR,B,n. masc.,bil-mapuzi,,,,
montagne,djaɓali,KM -> FR,D,n. fem.,mlima,mlima,shilima,mlima,
montagne; colline,mlima,KM -> FR,M,n. fem.,mlima,mlima,shilima,mlima,
monter,hea (u-),KM -> FR,H,v.,uheya,uheya,uheya,uheya,1.0
"monter (dans un engin, ou sur un animal)",pashia (u-),FR -> KM,M,v.,upashia,upashia,upashia,upashia,1.0
monter un animal,pandra (u-),FR -> KM,M,v.,upandra,upandra,upandra,,
monter un animal; escalader,pandra (u-),KM -> FR,P,v.,upandra,upandra,upandra,,
montre,saya; montori,FR -> KM,M,n. fem.,saya,saya,,,
montre; moment; heure,saya,KM -> FR,S,n. fem.,saya,saya,,,
montrer,esedzeya (u-),KM -> FR,E,v.,uonesa,,uonesa,uonesa,
montrer son dos ou son derrière,finyua (u-),FR -> KM,M,v.,,,ufinyua,,
montrer à,esedzea (u-),KM -> FR,E,v.,uonesa,,uonesa,uonesa,
montrer; montrer à,onesa (u-),KM -> FR,O,v.,uonesa,,uonesa,uonesa,
monument,taɓuta,FR -> KM,M,n. masc.,taɓuta,,,,
Monzambique,Msumbidji,FR -> KM,M,n. prop.,Msumbidji,,,,
moquer de,tseshea (u-),FR -> KM,M,v. tra.,utseshea,,utseshea,,
moquette,ɓusati,FR -> KM,M,n. fem.,ɓusati,,,,
moqueur,mtsesi,FR -> KM,M,adj. subst.,mtsesi,,,,
morceau,ipanɗe,KM -> FR,I,n. masc.,mɓai,shipandre,shipandre,,
morceau d'arbre,gongo,FR -> KM,M,n. masc.,gongo,,,gongo,
morceau d'arbre; bûche,gongo,KM -> FR,G,n. masc.,gongo,,,gongo,
morceau de nourriture,kongono,FR -> KM,M,n. masc.,,,kongono,,
morceau de nourriture; bouchée,kongono,KM -> FR,K,n. masc.,,,kongono,,
morceau de papier,shipambo,FR -> KM,M,n. comp.,,shipambo,shipambo,,
morceau; bout,kutru,KM -> FR,K,n. masc.,mɓai,shipandre,shipandre,,
morceau; partie,mɓai,KM -> FR,M,n. masc.,mɓai,shipandre,shipandre,,
morceler,tondoa (u-),FR -> KM,M,v.,utondoa,,,,
morfal,mlamo,FR -> KM,M,adj. n. masc.,,mlamo,mlamo,,
morfal; gourmand,mlamo,KM -> FR,M,adj. n. masc.,,mlamo,mlamo,,
mort,wafati; mfo; mfu,FR -> KM,M,n. fem.,mfu,mfu,mfu,mfu,1.0
mort-vivant,mfuhai,FR -> KM,M,adj.,mfuhai,mfuhai,mfuhai,mfuhai,1.0
mort-vivant; zombi,mfuhai,KM -> FR,M,adj.,mfuhai,mfuhai,mfuhai,mfuhai,1.0
mortier,hino,KM -> FR,H,n. masc.,shino,shino,shino,shino,1.0
morve,mafiriɗa; jongoma,FR -> KM,M,n. fem.,mafiriɗa,jongoma,jongoma,,
morve; morvelle,mafiriɗa,KM -> FR,M,n. fem.,mafiriɗa,jongoma,jongoma,,
morvelle,mafiriɗa,FR -> KM,M,n. fem.,mafiriɗa,,,,
mosquée,msihiri; mkiri,FR -> KM,M,n. fem.,msihiri,mkiri,mkiri,mkiri,
mot,kalima,KM -> FR,K,n. masc.,kalima,tamko,kalima,kalima,
moto,moto,FR -> KM,M,n. fem.,moto,,,moto,
motocyclette,moto,FR -> KM,M,n. fem.,moto,,,moto,
motocyclette; moto,moto,KM -> FR,M,n. fem.,moto,,,moto,
mou,-remɓavu; -trembwavu; debwere; ferere; pwete; ɓwerete,FR -> KM,M,adj. n. masc.,debwere,ferere,pwete,,
mou (être -),rimɓaya (u-),FR -> KM,M,v.,urimɓaya,,,,
mou; tendre,-trembwavu,KM -> FR,T,adj. n. masc.,debwere,ferere,pwete,,
moucharder,fitini (u-),FR -> KM,M,v.,ufitini,ufitini,ufitini,ufitini,1.0
mouche,ndzi,FR -> KM,M,n. fem.,ndzi,ndzi,ndzi,,
moucher,fira (u-),FR -> KM,M,v. tra.,ufira,,,ufira,
moucher; sodomiser,fira (u-),KM -> FR,F,v. tra.,ufira,,,ufira,
mouchoir,mshuara,FR -> KM,M,n. fem.,,mshuara,,,
moudre,fuɓua (u-),FR -> KM,M,v.,ufuɓua,,,,
moudre; piler (avec pilon),fuɓua (u-),KM -> FR,F,v.,ufuɓua,,,,
mouiller,loza (u-),FR -> KM,M,v. loc.,uloza,,,,
mouiller; marier (faire -),loza (u-),KM -> FR,L,v. loc.,uloza,,,,
moule,nyamare,FR -> KM,M,n. fem.,nyamare,,,,
moulin à canne à sucre,guli,KM -> FR,G,m. comp.,guli,,,,
Mouloud,Maulida,FR -> KM,M,n. masc.,Maulida,,Maulida,,
mourir,filia (u-),KM -> FR,F,v.,hufa,hufa,hufa,hufa,1.0
mourir; coûter,fa (hu-),KM -> FR,F,v.,hufa,hufa,hufa,hufa,1.0
mousse,pevu; povu,FR -> KM,M,n. fem.,povu,pevu,povu,,
moustache,nɗevu; ndrevu; umemo,FR -> KM,M,n. fem.,nɗevu,umemo,ndrevu,,
moustiquaire,layi,KM -> FR,L,n. fem.,mustakera,,mustakera,,
moustique,ɗundri; mbu; ɗunɗi,FR -> KM,M,n. masc.,ɗunɗi,ɗundri,mbu,,
mouton,baribari,KM -> FR,B,n. masc.,gondzi,gondzi,baribari,gondzi,
moyen,nafasi,FR -> KM,M,n. masc.,nafasi,,nafasi,,
moyen (financier),nciɗa,FR -> KM,M,n. masc.,nciɗa,,,,
muet,ɓuɓu,FR -> KM,M,n. masc.,ɓuɓu,,ɓuɓu,ɓuɓu,
muezzin,mwadini,FR -> KM,M,n. masc.,,mwadini,mwadini,,
mulot,trutri,FR -> KM,M,n. masc.,,,trutri,,
munition,risasi; popo,FR -> KM,M,n. fem.,risasi,popo,popo,,
mur,ngome; upanɗo; uhura; nkura,FR -> KM,M,n. masc.,nkura,nkura,nkura,nkura,1.0
mur  (en palme de cocotier),gaɓa,KM -> FR,G,n. masc.,gaɓa,,,,
mur; muraille,ngome,KM -> FR,N,n. masc.,nkura,nkura,nkura,nkura,1.0
muraille,ngome; uhura,FR -> KM,M,n. fem.,uhura,uhura,uhura,,
murmurer,vongona (u-),FR -> KM,M,v.,,uvongona,uvongona,,
murmurer; chuchoter,vongona (u-),KM -> FR,V,v.,,uvongona,uvongona,,
murène,muhunga,FR -> KM,M,n. fem.,,,muhunga,muhunga,
murène; anguille,muhunga,KM -> FR,M,n. fem.,,,muhunga,muhunga,
musaraigne,pumtsutsu,FR -> KM,M,n. fem.,,pumtsutsu,,,
muscade,kukumanga,KM -> FR,K,n. fem.,kungumanga,nkukumanga,kungumanga,,
muscadier,mukungumanga; mkungumanga,FR -> KM,M,n. masc.,mkungumanga,,mukungumanga,,
musicien,mrema-ala,FR -> KM,M,n. masc.,mrema-ala,,,,
musique,ngoma,FR -> KM,M,n. fem.,ngoma,ngoma,ngoma,ngoma,1.0
musique; jalousie,ngoma,KM -> FR,N,n. fem.,ngoma,ngoma,ngoma,ngoma,1.0
mâcher,nyinya (u-),FR -> KM,M,v.,unyinya,,,,
mâchoire,ntsaya; ntsawa; tsawa; ngutsa,FR -> KM,M,n. fem.,ntsaya,tsawa,tsawa,,
mâle,ndrume; -ume,FR -> KM,M,n. masc. adj.,-ume,-ume,-ume,-ume,1.0
mâle (animal),ɗume,FR -> KM,M,n. masc.,ɗume,,,,
mèche,pondzi; pwendzi,FR -> KM,M,n. fem.,pondzi,pwendzi,,,
mèche; fil; corde,pondzi,KM -> FR,P,n. fem.,pondzi,pwendzi,,,
mère,mdzadze; mutrumama; mntrumama,FR -> KM,M,n. fem.,mdzadze,mntrumama,mutrumama,,
mère de,mma; ma,FR -> KM,M,loc. n.,mma,,ma,mma,
mère; femme,mntrumama,KM -> FR,M,n. fem.,mdzadze,mntrumama,mutrumama,,
méchanceté,upeu,FR -> KM,M,n. fem.,upeu,upeu,upeu,upeu,1.0
méchant,-a peu,KM -> FR,A,adj. subst.,-hali,-hali,-hali,-hali,1.0
mécréant,kafiri,FR -> KM,M,adj. n. masc.,kafiri,kafiri,kafiri,kafiri,1.0
médaille,mɗai,FR -> KM,M,n. n. fem.,mɗai,,,,
médecin,twaɓiɓu,FR -> KM,M,n. masc.,twaɓiɓu,twaɓiɓu,twaɓiɓu,,
médecin traditionnel,mwalimu,FR -> KM,M,n. masc.,mwalimu,,,,
médicament,ɗalao,FR -> KM,M,n. masc.,ɗalao,ɗalao,ɗalao,ɗalao,1.0
médire,kalia (u-),KM -> FR,K,v.,ukalia,ukalia,ukalia,ukalia,1.0
médisance,ukalizi; fitina; ntsemo; utsemevu,FR -> KM,M,n. fem.,fitina,fitina,fitina,fitina,1.0
médisant,mtsemezi; mkalizi,FR -> KM,M,adj.,mkalizi,mtsemezi,mkalizi,,
méfier,tahadhari (u-),FR -> KM,M,v. tra.,utahadhari,,utahadhari,,
mélanger,rehanya (u-); ɓihanya (u-); tsanganisa (u-),FR -> KM,M,v.,urehanya,uɓihanya,,utsanganisa,
mélanger (cartes à jouer),beti (u-),KM -> FR,B,v.,ubeti,,,,
mélanger un liquide,vuvua (u-),FR -> KM,M,v.,,uvuvua,,,
mélanger; confondre,rehanya (u-),KM -> FR,R,v.,urehanya,uɓihanya,,utsanganisa,
mélodie,sadji,FR -> KM,M,n. fem.,,sadji,,,
mémoire,fahama,KM -> FR,F,n. fem.,fahamwe,fahama,,fahamwe,
mémorisation,ɓanga,FR -> KM,M,n. fem.,ɓanga,ɓanga,ɓanga,ɓanga,1.0
mépris,darau,KM -> FR,D,n. fem.,dharau,dharau,dharau,dharau,1.0
mépris; sous-estimation,dharau,KM -> FR,D,n. fem.,dharau,dharau,dharau,dharau,1.0
mépriser,dharau (u-); nuhu (u-); onea (u-); darau (u-),FR -> KM,M,v.,uonea,uonea,uonea,uonea,1.0
mépriser; dédaigner; sous-estimer,onea (u-),KM -> FR,O,v.,uonea,uonea,uonea,uonea,1.0
mériter,stahiki (u-),FR -> KM,M,v.,ustahiki,,,,
mérou,muzusi; tsehele mzusi,FR -> KM,M,n. fem.,,,mzusi,,
mésange,sopve,FR -> KM,M,n. fem.,sopve,,,,
métal,shuma,FR -> KM,M,n. masc.,shuma,shuma,shuma,shuma,1.0
mêler,guɓanya (u-),KM -> FR,G,v.,uguɓanya,,,,
même,-enyewe,KM -> FR,E,adj. ind.,,,-enyewe,,
même si,laukana,KM -> FR,L,loc.,ɓaishe,,walakini,,
même si; bien que,alakini,KM -> FR,A,loc.,ɓaishe,,walakini,,
mûr (être -),iva (u-),FR -> KM,M,v.,hwiva,hwiva,hwiva,hwiva,1.0
mûr (être -); mûrir; cuit (être -),iva (u-),KM -> FR,I,v.,hwiva,hwiva,hwiva,hwiva,1.0
mûrir,dzinya (u-); iva (u-),FR -> KM,M,v.,hwiva,hwiva,hwiva,hwiva,1.0
n'est pas,tsi,FR -> KM,N,loc. n. masc.,,,tsi,,
n'est pas; pays; sourcil,tsi,KM -> FR,T,loc. n. masc.,,,tsi,,
n'importe,kwakila,KM -> FR,K,adv.,,,kwakila,kula,
n'importe quoi,malembe,KM -> FR,M,adv.,malembe,malembe,malembe,malembe,1.0
nageoire,piho,FR -> KM,N,n. fem.,piho,,,,
nageoire; aile,piho,KM -> FR,P,n. fem.,piho,,,,
nager,ela (u-),KM -> FR,E,v.,utsunga,utsunga,utsunga,utsunga,1.0
nain,idugushe,KM -> FR,I,n. masc.,idugushe,,,,
narine,pemɓe ya mbua,FR -> KM,N,n. fem.,mbua,,,,
nasse,ɗema,FR -> KM,N,,,,,,
nation,twaifa,FR -> KM,N,n. fem.,twaifa,,,,
nationaliser,twaifisha (u-),FR -> KM,N,v.,utwaifisha,,,,
natte,ɗao,FR -> KM,N,n. fem.,ɗao,,,ɗao,
natte tressée avec des folioles de palmier miala,ɗao; ɗalo,FR -> KM,N,n. fem.,ɗao,,ɗalo,ɗao,
nature,ulanga,FR -> KM,N,n. fem.,ulanga,ulanga,ulanga,ulanga,1.0
nature; environnememnt,ulanga,KM -> FR,U,n. fem.,ulanga,ulanga,ulanga,ulanga,1.0
nauséabond,ɓushasha,FR -> KM,N,,,,,,
navire,meli,FR -> KM,N,n. masc.,meli,,,,
navire; bateau,meli,KM -> FR,M,n. masc.,meli,,,,
"naître (""être né"")",zalwa (u-),FR -> KM,N,v.,uzalwa,,,,
nerf,mzi,FR -> KM,N,n. masc.,mzi,,,,
nerf; artère; racine,mzi,KM -> FR,M,n. masc.,mzi,,,,
nerveux (pers.),mhali,KM -> FR,M,adj. subst.,mhali,,,,
nettoyer,rahatsa (u-),FR -> KM,N,v.,urahatsa,urahatsa,urahatsa,urahatsa,1.0
nettoyer; purifier,rahatsa (u-),KM -> FR,R,v.,urahatsa,urahatsa,urahatsa,urahatsa,1.0
neuf,shenɗa; mpia; shendra; -pia,FR -> KM,N,adj. inv. n. masc.,shenɗa,shendra,shendra,shenɗa,
neuf; nouveau,mpia,KM -> FR,M,adj. inv. n. masc.,shenɗa,shendra,shendra,shenɗa,
nez,mbua,KM -> FR,M,n. masc.,mbua,mpua,pua,,
ni,wala,FR -> KM,N,c. coord.,wala,,wala,,
ni; celles; ceux,wala,KM -> FR,W,c. coord.,wala,,wala,,
niche,iɗaka,KM -> FR,I,n. fem.,iɗaka,,,,
nid,traya; kara,FR -> KM,N,n. masc.,traya,kara,kara,,
nid; coussinet (de tête),kara,KM -> FR,K,n. masc.,traya,kara,kara,,
nid; tanière,traya,KM -> FR,T,n. masc.,traya,kara,kara,,
nier,hana (u-),KM -> FR,H,v.,uhana,,,uhana,
nigelle,zile ziɗu,FR -> KM,N,n. fem.,ziɗu,,,,
niveau,daradja,FR -> KM,N,n. masc.,daradja,,,,
noble,mtukufu,KM -> FR,M,n. masc.,mtukufu,mtukufu,mtukufu,mtukufu,1.0
noble; glorieux,-tukufu,KM -> FR,T,n. masc.,mtukufu,mtukufu,mtukufu,mtukufu,1.0
noblesse,ungwana,FR -> KM,N,n. fem.,ungwana,,ungwana,,
noces,umɓizo,FR -> KM,N,n. fem.,umɓizo,,,,
noeud,fundro,KM -> FR,F,n. masc.,funɗo,fundro,fundro,funɗo,
noir,-ɗu; ndziɗu,FR -> KM,N,adj. subst.,ndziɗu,ndziɗu,ndziɗu,ndziɗu,1.0
noir (couleur),ndzilu,FR -> KM,N,adj. n. masc.,,,ndzilu,,
noir (pers.),muɗu,KM -> FR,M,adj. subst.,muɗu,muɗu,muɗu,muɗu,1.0
Noirceur,uɗu,FR -> KM,N,n. fem.,uɗu,uɗu,uɗu,uɗu,1.0
noix (de cajou),nkorosho,FR -> KM,N,n. fem.,,,,nkorosho,
noix de badame,nkaɗaha,FR -> KM,N,loc. n. masc.,nkaɗaha,,,,
noix de cajou,ɓiɓo; nkoroshe,FR -> KM,N,n. fem.,ɓiɓo,ɓiɓo,ɓiɓo,ɓiɓo,1.0
noix de coco,nazi; nadzi,FR -> KM,N,n. fem.,nazi,nadzi,nadzi,nadzi,
noix de coco (mûre),kole,KM -> FR,K,n. fem.,kole,,,kole,
noix de coco verte,idjavu; shijavu,FR -> KM,N,n. fem.,idjavu,shijavu,shijavu,,
noix de coco verte; coco-boire,shijavu,KM -> FR,S,n. fem.,idjavu,shijavu,shijavu,,
nom,dzina,KM -> FR,D,n. masc.,dzina,dzina,dzina,dzina,1.0
nombre,îdadi,FR -> KM,N,n. masc.,îdadi,îdadi,,,
nombre; quantité,îdadi,KM -> FR,I,n. masc.,îdadi,îdadi,,,
nombreux,-engi; nyengi; nyindji,FR -> KM,N,adj.,nyindji,nyengi,nyengi,,
nombreux; beaucoup,-engi,KM -> FR,E,adj.,nyindji,nyengi,nyengi,,
nombril,kovu,KM -> FR,K,n. masc.,kovu,truntru,truju,,
non,âa,KM -> FR,A,adv.,âa,âa,,,
non (pas du tout !),ashe,KM -> FR,A,adv.,ashe,,,,
non mûr,-itsi; mbitsi; ɓitsi,FR -> KM,N,adj.,ɓitsi,ɓitsi,ɓitsi,ɓitsi,1.0
non mûr; vert,mbitsi,KM -> FR,M,adj.,ɓitsi,ɓitsi,ɓitsi,ɓitsi,1.0
