key_fr,key_km,scrap_mode,scrap_letter
loup-garou,mbwa-nyeha,FR -> KM,L
lourd,-dziro,KM -> FR,D
lourd; difficile,ndziro,KM -> FR,N
lourdeur,udziro,FR -> KM,L
loyer,mawadjara,FR -> KM,L
loyer; location,mawadjara,KM -> FR,M
luciole,pepetumani,FR -> KM,L
lueur,weu,FR -> KM,L
lui,yeye; waye; -mw-; ye,FR -> KM,L
lui aussi,pvahe,FR -> KM,L
lui seul,waye ce,FR -> KM,L
lui-même,waye,FR -> KM,L
lui; elle,yeye,KM -> FR,Y
lui; il; elle,ye,KM -> FR,Y
lumière,mwendje; djahi; mwenge; weu,FR -> KM,L
lumière (fig.),nuru,FR -> KM,L
lumière (fig.); clarté,nuru,KM -> FR,N
lumière; bonheur,djahi,KM -> FR,D
lundi,mfumdraru; mufumoraru; mfumoraru,FR -> KM,L
lune,mwezi,FR -> KM,L
Lune (astre),kamari,FR -> KM,L
Lune (astre) ,kamari,KM -> FR,K
lune de miel,fukatre,KM -> FR,F
lune; mois,mwezi,KM -> FR,M
lunettes,miwani; luneti,FR -> KM,L
luth,gambusi,FR -> KM,L
luth; guitare,gambusi,KM -> FR,G
lutter,wana (u-),FR -> KM,L
lutter; battre (se -),wana (u-),KM -> FR,W
luxe,raha,FR -> KM,L
luxe; davantage; encore (pas -),raha,KM -> FR,R
là,pvala; hule; -li-; vale; vavo; oho; -mw-; hunu,FR -> KM,L
là-bas (éloign.),pvala; hule,FR -> KM,L
là; ici,hunu,KM -> FR,H
là; là-bas (éloign.),pvala,KM -> FR,P
lâche,jele,KM -> FR,J
lâcher,cililia (u-),KM -> FR,C
lâcher; laisser aller,jeledza (u-),KM -> FR,J
lèpre,uenefu; maenefu,FR -> KM,L
lèvre,ɗomo,FR -> KM,L
lèvres,miyomo,FR -> KM,L
lécher,homɓa (u-),KM -> FR,H
léger,-angu; ndzangu; nyangu,FR -> KM,L
léger; facile,ndzangu,KM -> FR,N
légitime,halali,FR -> KM,L
léguer,rithisha (u-),FR -> KM,L
léguer à,lishia (u-),FR -> KM,L
légume,bwa,KM -> FR,B
légèreté,wangu,FR -> KM,L
légèreté; facilité,wangu,KM -> FR,W
lémurien,komba; nkomɓa,FR -> KM,L
lépreux,mwenefu,FR -> KM,L
léser (les gens),dhulumu (u-),FR -> KM,L
lézard,nguzi,FR -> KM,L
l’,-li-,FR -> KM,L
m',-m-; -ni-,FR -> KM,M
ma,-ahangu; zangu; yangu; langu,FR -> KM,M
macabre,-a usikitifu,KM -> FR,A
macaque,shita,FR -> KM,M
machette,bureti,KM -> FR,B
Madagascar,Ɓushi,FR -> KM,M
madame,ɓiɓi; ɓweni,FR -> KM,M
magasin,ɗuka; magazâ; kalibano,FR -> KM,M
magasin; garde manger,magazâ,KM -> FR,M
magicien,mwalimu,FR -> KM,M
magicien; marabout; devin; médecin traditionnel; astrologue; proffesseur,mwalimu,KM -> FR,M
magie,utsai,FR -> KM,M
mahorais,shiMaore; muMaore; mMaore,FR -> KM,M
mai,Me,FR -> KM,M
maigre,-onvu,FR -> KM,M
maigre (pers.),mwonvu,FR -> KM,M
maigreur,wonvu,FR -> KM,M
maigrichon,mahondra,FR -> KM,M
maigrir,hondra (u-),KM -> FR,H
main,mhono; muhono,FR -> KM,M
main; bras,muhono,KM -> FR,M
maintenant,apvaha,KM -> FR,A
maintenir debout,himisa (u-),KM -> FR,H
maintien,msikio,FR -> KM,M
maire,mera,FR -> KM,M
mairie,mudiria,FR -> KM,M
mais,sha; lakini; ɓe; ɓuru; mrama,FR -> KM,M
mais; doigt,sha,KM -> FR,S
maison,nyumɓa; ɗaho; ɗago,FR -> KM,M
majeur (doigt),sha ya hari; shaya sha hari,FR -> KM,M
majeur (être-),ɓalighi (u-),FR -> KM,M
majorité (âge),uɓalighi,FR -> KM,M
Majunga,mdjangaya,FR -> KM,M
maki,komba,FR -> KM,M
mal,nai; shari; shinamna; -ovu; mbovu,FR -> KM,M
mal (avoir - à),rosiwa (u-),FR -> KM,M
mal (faire -) (être douloureux),rosa (u-),FR -> KM,M
mal (faire -) (être douloureux); ferrer (poisson),rosa (u-),KM -> FR,R
mal; bizarre,shinamna,KM -> FR,S
mal; mauvais,mbovu,KM -> FR,M
malade,-waɗe; mwaɗe,FR -> KM,M
maladie,uwaɗe; maradhi,FR -> KM,M
maladie (grosse -),ɓwaɗe,FR -> KM,M
maladif (pers.),pamba,FR -> KM,M
maladroit,dredresi,KM -> FR,D
maladroit; imprudent,falmange,KM -> FR,F
malaise,swafurwa; swafura,FR -> KM,M
malaise; vertige,swafurwa,KM -> FR,S
malaria,ndrerema,FR -> KM,M
malchance,shonga; unuhusi; nuhusi,FR -> KM,M
malchance; vice,shonga,KM -> FR,S
malentendu,ɓalɓala,FR -> KM,M
malgache,shiƁushi; mƁushi; muƁushi,FR -> KM,M
malheur,shaka,FR -> KM,M
malin,malini; mudjandja; maluni,FR -> KM,M
malin (le),Iɓilisi,KM -> FR,I
malle,ciranka; kasha; ɓweta; ɗiranka,FR -> KM,M
malle; caisse; coffre,kasha,KM -> FR,K
maltraiter,âziri (u-); pwakwa (u-),FR -> KM,M
maltraiter; torturer; gronder,âziri (u-),KM -> FR,A
malédiction,hakamu,KM -> FR,H
maman,mama; mma,FR -> KM,M
maman; mère de,mma,KM -> FR,M
mamelle,ɓele; nyaro,FR -> KM,M
mamelon,ntsitsi,FR -> KM,M
manche (d'outil),mpvini,FR -> KM,M
mandarine,ɓaandzi; ɓalandzi; ɗandzi,FR -> KM,M
mandarine (grosse -),cindja,KM -> FR,C
mandarine (grosse -); clémentine,cendza,KM -> FR,C
mandarinier,mbaandzi; mlandzi,FR -> KM,M
mangeable (être -),liha (u-),KM -> FR,L
manger,ali (u-),KM -> FR,A
mangeur (pers.),mlidji,FR -> KM,M
mangeur (pers.); gourmand,mlidji,KM -> FR,M
mangouste,mtulu,FR -> KM,M
mangrove,muhonko,FR -> KM,M
mangrove; palétuvier,muhonko,KM -> FR,M
mangue,yemɓe; manga,FR -> KM,M
mangue mûre,djoro,FR -> KM,M
mangue mûre; chaleur corporelle ,djoro,KM -> FR,D
manguier,mmanga; mumanga; myemɓe,FR -> KM,M
manguier; étranger,mmanga,KM -> FR,M
manie,ifeli,FR -> KM,M
manie; trait de caractère; cicatrice,ifeli,KM -> FR,I
manifestant,mwandamanadji,FR -> KM,M
manifestation,mandamano,FR -> KM,M
manifestation traditionnelle pour payer les dettes des personnes défuntes,shungu,FR -> KM,M
manifester,fanya mandamano (u-),KM -> FR,F
manioc,mhogo; muhogo,FR -> KM,M
manioc bouilli,ɓataɓata,FR -> KM,M
manipuler qqch. de sale,tamɓwaria (u-); gaɗua (hu-),FR -> KM,M
manière,namna; heli,FR -> KM,M
manière ; façon,heli,KM -> FR,H
manière de cuisiner,mpishio,FR -> KM,M
manque,hamu,FR -> KM,M
manque alimentaire (viande),huɗu,KM -> FR,H
manquement social,izara,KM -> FR,I
manquer,puza (u-); tria hamu (u-),FR -> KM,M
manquer de respect,pua sheo (u-); tezefsheri (u-); shedja (u-),FR -> KM,M
manquer de respect; importuner,tezefsheri (u-),KM -> FR,T
manteau brodé,djoho,KM -> FR,D
maquereau,fwadrudru,KM -> FR,F
maquillage,mpaho,FR -> KM,M
maquiller,paha (u-),FR -> KM,M
marabout,mwalimu,FR -> KM,M
marc,sankiɗa,FR -> KM,M
marc; résidu,sankiɗa,KM -> FR,S
marchand,mɓahazazi,FR -> KM,M
marchand; commerçant,mɓahazazi,KM -> FR,M
marchander (réduire le prix),rahisisha (u-),FR -> KM,M
marchandise,ɓidhwaya,FR -> KM,M
marcher,enɗa (u-),FR -> KM,M
marches (escalier),nkeleo,FR -> KM,M
marcheur,mwenɗadji; mwenɗezi,FR -> KM,M
marché (lieu commercial),shinɗo; ɓazari; gidzo,FR -> KM,M
marché noir,magendro,FR -> KM,M
marché noir; contrebande,magendro,KM -> FR,M
mardi,mfumne; mufumonne; mfumonne,FR -> KM,M
mare,dziwa; dziya,FR -> KM,M
marelle,pale,FR -> KM,M
mari,mume; ɓai,FR -> KM,M
mariage,harusi,KM -> FR,H
mariage (grand -),nɗola ya âɗa; âɗa; manzaraka,FR -> KM,M
mariage; pourriture,ndrola,KM -> FR,N
marier,fungia (u-),KM -> FR,F
marier (faire -),lodza (u-),KM -> FR,L
marin,nahudhwa; ɓaharia; nahuda,FR -> KM,M
marié (être -),lolwa (u-),KM -> FR,L
marlin,dziwaro,KM -> FR,D
marmite,nyungu,FR -> KM,M
marmite (grosse),djungu,KM -> FR,D
marmite à limon,kiliho,KM -> FR,K
marque,âlama,KM -> FR,A
"marque de prière (au front, au genou)",sidjiɗa; wadjihi,FR -> KM,M
marquer,kaza alama (u-),KM -> FR,K
marron,nye,FR -> KM,M
Mars (astre),marsi; mirihi,FR -> KM,M
Mars (astre) ,marsi,KM -> FR,M
marteau,nyenɗo; nyindro; martô,FR -> KM,M
marteler (une idée),ɗukulia (u-),FR -> KM,M
martin (oiseau),katurera,FR -> KM,M
martin (oiseau); martinet,katurera,KM -> FR,K
martinet,katurera,FR -> KM,M
masculin,-ume,FR -> KM,M
masculin; mâle; virilité,-ume,KM -> FR,U
masque de beauté (au bois de santal),komba; msindanu; msindzanu; msindzano,FR -> KM,M
masque de beauté (au bois de santal); santal,msindzanu,KM -> FR,M
massage,uhandrilizi,FR -> KM,M
masser,handra (u-),KM -> FR,H
masseur,mhanɗilizi,FR -> KM,M
massue,igongo; shiɓonko,FR -> KM,M
match,ɗangadzo,FR -> KM,M
matelas,goɗoro,KM -> FR,G
matelot,burzani,KM -> FR,B
matin,trasi,FR -> KM,M
matinée,asuɓwihi,KM -> FR,A
matinée; aube,asuɓuhi,KM -> FR,A
matinée; matin,trasi,KM -> FR,T
matière,maɗa,FR -> KM,M
matières premières,maâɗini,FR -> KM,M
matraque,mpweke,FR -> KM,M
matrimoine,manyahuli,FR -> KM,M
maudire,lana (u-),KM -> FR,L
maudit,mulanifu; mlaanifu,FR -> KM,M
Maulid,Maulida,FR -> KM,M
Maulid; Mouloud,Maulida,KM -> FR,M
Maulide (naiss. du prophète),Maulidi,FR -> KM,M
Maurice,Morisi,FR -> KM,M
mauricien,mMorisi,FR -> KM,M
mauvais,hwii,KM -> FR,H
mauvais œil,husuɗa,FR -> KM,M
mauvais œil ,husuɗa,KM -> FR,H
mauvaise (pers.),mshari,FR -> KM,M
mauvaise (pers.); scie,mshari,KM -> FR,M
mauvaise haleine,ɓushasha,FR -> KM,M
mauvaise herbe,kwehe,KM -> FR,K
Mayotte,Maore,FR -> KM,M
maçon,saruma,FR -> KM,M
maçon; menuisier,saruma,KM -> FR,S
maître,fundi; ustadhi,FR -> KM,M
maître d'école,fundi-likoli,KM -> FR,F
maîtresse,hawara,FR -> KM,M
maïs,trama; murama,FR -> KM,M
maïs.,murama,KM -> FR,M
me,-m-; -ni-,FR -> KM,M
me voici,tsami,FR -> KM,M
me; m',-ni-,KM -> FR,N
me; m'; vous,-m-,KM -> FR,M
mec,ɓako,FR -> KM,M
meilleur,ndjema,FR -> KM,M
melon,triki; pwepwera; trihiri,FR -> KM,M
membre,ziungo; shiga; ningo,FR -> KM,M
mendiant,mmizi; mmezi,FR -> KM,M
mendicité,umizi; umezi,FR -> KM,M
mendier,kirimu (u-),KM -> FR,K
mener un troupeau,trusa (u-),FR -> KM,M
mener un troupeau; faire partir,trusa (u-),KM -> FR,T
meneur,mwongozi,FR -> KM,M
menotte,silisili; nkunku,FR -> KM,M
menotter,pvatsa (u-),FR -> KM,M
menotter; compliquer (qqch); entraver,pvatsa (u-),KM -> FR,P
mensonge,ndraɓo; ntrambo; tramɓo,FR -> KM,M
mentalité,ɓumɓwa,FR -> KM,M
menteur,mnafiki; munafiki; zabizabina,FR -> KM,M
menteur (grand -),mzabi-zabina; zabizabina,FR -> KM,M
menteur (grand -); menteur,zabizabina,KM -> FR,Z
menthe,inana,KM -> FR,I
mentionner,dhukuru (u-),FR -> KM,M
mentir,amɓa ndraɓo (u-),KM -> FR,A
mentir (à une femme),katramu (u-),KM -> FR,K
menton,ilevu,KM -> FR,I
menuisier,saruma,FR -> KM,M
mer,ɓahari,FR -> KM,M
merci,marahaɓa,FR -> KM,M
merci beaucoup,asanta,KM -> FR,A
mercredi,mfumtsanu; mufumotsano; mfumotsano,FR -> KM,M
Mercure (astre),untwariɗi,FR -> KM,M
Mercure (astre) ,untwariɗi,KM -> FR,U
merde aux fesses,viho,FR -> KM,M
merder,kosewa (u-),KM -> FR,K
merder; manquer; sécher (cours),puza (u-),KM -> FR,P
merle,ntsole,FR -> KM,M
mes,zangu; yangu,FR -> KM,M
mes respects !,kwezi,FR -> KM,M
mes respects !; épervier,kwezi,KM -> FR,K
message,risala,FR -> KM,M
messager,ndrume,FR -> KM,M
messager; mâle; délégation,ndrume,KM -> FR,N
mesure,ipvimo,KM -> FR,I
mesurer,hela (u-),KM -> FR,H
mesurer; peser,vima (u-),KM -> FR,V
mesureur,ipvimio,KM -> FR,I
mettre,tria (u-),FR -> KM,M
mettre au soleil,aniha (u-),FR -> KM,M
mettre au soleil.; étendre,aniha (u-),KM -> FR,A
mettre d'accord,kuɓaliana (u-),FR -> KM,M
mettre d'accord; entendre (s'-),kuɓaliana (u-),KM -> FR,K
mettre en garde,fahamisha (u-),FR -> KM,M
mettre en rang,linganyisa (u-); linganisa (u-),FR -> KM,M
mettre longtemps,tavela (u-),FR -> KM,M
mi- mois,mtsa-mwezi,FR -> KM,M
microbe,ɓungu,FR -> KM,M
midi,mtsana,FR -> KM,M
mie,mnonfu,FR -> KM,M
miel,ndjizi ya nyoshi; ngizi,FR -> KM,M
miel d'abeilles,ngizi ya nyoshi,FR -> KM,M
miette,kenye,KM -> FR,K
mieux,hairi,KM -> FR,H
mieux (vaut -),afdhwali,KM -> FR,A
milan,kozi,FR -> KM,M
milieu,hari,FR -> KM,M
militaire,mwana-djeshi,FR -> KM,M
militant (un),mwana-shama,FR -> KM,M
"militer (""prendre part"")",renga funvu (u-),FR -> KM,M
mille,alfu,KM -> FR,A
mille pattes,mɓuzi ya Mngu,FR -> KM,M
mimosa,mugu,FR -> KM,M
minable,-pvugunfu,FR -> KM,M
minaret,mnara; munara,FR -> KM,M
mince,-tsala; -tsaya; -ambamba; mwambamba; mtsala; monvu,FR -> KM,M
mince; étroit,-ambamba,KM -> FR,A
minceur,utsala,FR -> KM,M
minerai,maandini,FR -> KM,M
minimum,ukomo,FR -> KM,M
minimum; fin,ukomo,KM -> FR,U
ministre,waziri,FR -> KM,M
ministre; vizir,waziri,KM -> FR,W
ministère,wizara,FR -> KM,M
minute,ɗakika,FR -> KM,M
miracle,mundjuza,FR -> KM,M
Miraj,Miradji,FR -> KM,M
miroir,uɗoo; shiɗo; uɗo,FR -> KM,M
misanthropie,alahulia,KM -> FR,A
misère,hole,KM -> FR,H
miséricorde,rehema,FR -> KM,M
miséricorde; compassion,rehema,KM -> FR,R
mixer,tahani (u-),FR -> KM,M
mixer; hacher,tahani (u-),KM -> FR,T
mode,mɓina,FR -> KM,M
modeler,panga (u-); swanaîsha (u-),FR -> KM,M
modeler; façonner; former,panga (u-),KM -> FR,P
modifier,gauha (u-),FR -> KM,M
modifier; changer (se -),gauha (u-),KM -> FR,G
modèle,shampa,FR -> KM,M
modèle ,shampa,KM -> FR,S
modérer,poleza (u-),FR -> KM,M
modérer; ralentir; calmer (faire -),poleza (u-),KM -> FR,P
moelleux,ntrembere; ɓwerete,FR -> KM,M
Mohéli,Mwali,FR -> KM,M
mohélien,shiMwali; muMwali,FR -> KM,M
moi,mimi; wami; mi,FR -> KM,M
moi aussi,pvangu,FR -> KM,M
moi seul,wami ce,FR -> KM,M
moi-même,wami,FR -> KM,M
moi-même; moi,wami,KM -> FR,W
mois,mwezi,FR -> KM,M
mois passé,mwezi yapvira,FR -> KM,M
mois prochain,mwezi udjao,FR -> KM,M
moisir,haha (u-),KM -> FR,H
moisissure,huvu,KM -> FR,H
moitié,nusu; mbiɗi; mpindri,FR -> KM,M
mollasson,feɗe,FR -> KM,M
mollasson; impuissant sexuellement,feɗe,KM -> FR,F
molle,debwere,FR -> KM,M
molle; mou,debwere,KM -> FR,D
mollet,mpuhu ya mundru,FR -> KM,M
mollusque,nyamare; nyamara,FR -> KM,M
mollusque; huitre; moule,nyamare,KM -> FR,N
moment,saya; wakati; muda; muɗa,FR -> KM,M
moment; temps,wakati,KM -> FR,W
mon,-ahangu; zangu; yangu; langu,FR -> KM,M
mon; ma,langu,KM -> FR,L
mon; ma; mes,yangu,KM -> FR,Y
monde,dunia,KM -> FR,D
monde; univers,ulemengu,KM -> FR,U
mondial,-a dunia,KM -> FR,A
monnaie,petusi,FR -> KM,M
monnaie; teigne,petusi,KM -> FR,P
monsieur,ɓwana; mwenye; monye,FR -> KM,M
monstre,djumu,KM -> FR,D
monstre (poilu),bil-mapuzi,KM -> FR,B
montagne,djaɓali,KM -> FR,D
montagne; colline,mlima,KM -> FR,M
monter,hea (u-),KM -> FR,H
"monter (dans un engin, ou sur un animal)",pashia (u-),FR -> KM,M
monter un animal,pandra (u-),FR -> KM,M
monter un animal; escalader,pandra (u-),KM -> FR,P
montre,saya; montori,FR -> KM,M
montre; moment; heure,saya,KM -> FR,S
montrer,esedzeya (u-),KM -> FR,E
montrer son dos ou son derrière,finyua (u-),FR -> KM,M
montrer à,esedzea (u-),KM -> FR,E
montrer; montrer à,onesa (u-),KM -> FR,O
monument,taɓuta,FR -> KM,M
Monzambique,Msumbidji,FR -> KM,M
moquer de,tseshea (u-),FR -> KM,M
moquette,ɓusati,FR -> KM,M
moqueur,mtsesi,FR -> KM,M
morceau,ipanɗe,KM -> FR,I
morceau d'arbre,gongo,FR -> KM,M
morceau d'arbre; bûche,gongo,KM -> FR,G
morceau de nourriture,kongono,FR -> KM,M
morceau de nourriture; bouchée,kongono,KM -> FR,K
morceau de papier,shipambo,FR -> KM,M
morceau; bout,kutru,KM -> FR,K
morceau; partie,mɓai,KM -> FR,M
morceler,tondoa (u-),FR -> KM,M
morfal,mlamo,FR -> KM,M
morfal; gourmand,mlamo,KM -> FR,M
mort,wafati; mfo; mfu,FR -> KM,M
mort-vivant,mfuhai,FR -> KM,M
mort-vivant; zombi,mfuhai,KM -> FR,M
mortier,hino,KM -> FR,H
morve,mafiriɗa; jongoma,FR -> KM,M
morve; morvelle,mafiriɗa,KM -> FR,M
morvelle,mafiriɗa,FR -> KM,M
mosquée,msihiri; mkiri,FR -> KM,M
mot,kalima,KM -> FR,K
moto,moto,FR -> KM,M
motocyclette,moto,FR -> KM,M
motocyclette; moto,moto,KM -> FR,M
mou,-remɓavu; -trembwavu; debwere; ferere; pwete; ɓwerete,FR -> KM,M
mou (être -),rimɓaya (u-),FR -> KM,M
mou; tendre,-trembwavu,KM -> FR,T
moucharder,fitini (u-),FR -> KM,M
mouche,ndzi,FR -> KM,M
moucher,fira (u-),FR -> KM,M
moucher; sodomiser,fira (u-),KM -> FR,F
mouchoir,mshuara,FR -> KM,M
moudre,fuɓua (u-),FR -> KM,M
moudre; piler (avec pilon),fuɓua (u-),KM -> FR,F
mouiller,loza (u-),FR -> KM,M
mouiller; marier (faire -),loza (u-),KM -> FR,L
moule,nyamare,FR -> KM,M
moulin à canne à sucre,guli,KM -> FR,G
Mouloud,Maulida,FR -> KM,M
mourir,filia (u-),KM -> FR,F
mourir; coûter,fa (hu-),KM -> FR,F
mousse,pevu; povu,FR -> KM,M
moustache,nɗevu; ndrevu; umemo,FR -> KM,M
moustiquaire,layi,KM -> FR,L
moustique,ɗundri; mbu; ɗunɗi,FR -> KM,M
mouton,baribari,KM -> FR,B
moyen,nafasi,FR -> KM,M
moyen (financier),nciɗa,FR -> KM,M
muet,ɓuɓu,FR -> KM,M
muezzin,mwadini,FR -> KM,M
mulot,trutri,FR -> KM,M
munition,risasi; popo,FR -> KM,M
mur,ngome; upanɗo; uhura; nkura,FR -> KM,M
mur  (en palme de cocotier),gaɓa,KM -> FR,G
mur; muraille,ngome,KM -> FR,N
muraille,ngome; uhura,FR -> KM,M
murmurer,vongona (u-),FR -> KM,M
murmurer; chuchoter,vongona (u-),KM -> FR,V
murène,muhunga,FR -> KM,M
murène; anguille,muhunga,KM -> FR,M
musaraigne,pumtsutsu,FR -> KM,M
muscade,kukumanga,KM -> FR,K
muscadier,mukungumanga; mkungumanga,FR -> KM,M
musicien,mrema-ala,FR -> KM,M
musique,ngoma,FR -> KM,M
musique; jalousie,ngoma,KM -> FR,N
mâcher,nyinya (u-),FR -> KM,M
mâchoire,ntsaya; ntsawa; tsawa; ngutsa,FR -> KM,M
mâle,ndrume; -ume,FR -> KM,M
mâle (animal),ɗume,FR -> KM,M
mèche,pondzi; pwendzi,FR -> KM,M
mèche; fil; corde,pondzi,KM -> FR,P
mère,mdzadze; mutrumama; mntrumama,FR -> KM,M
mère de,mma; ma,FR -> KM,M
mère; femme,mntrumama,KM -> FR,M
méchanceté,upeu,FR -> KM,M
méchant,-a peu,KM -> FR,A
mécréant,kafiri,FR -> KM,M
médaille,mɗai,FR -> KM,M
médecin,twaɓiɓu,FR -> KM,M
médecin traditionnel,mwalimu,FR -> KM,M
médicament,ɗalao,FR -> KM,M
médire,kalia (u-),KM -> FR,K
médisance,ukalizi; fitina; ntsemo; utsemevu,FR -> KM,M
médisant,mtsemezi; mkalizi,FR -> KM,M
méfier,tahadhari (u-),FR -> KM,M
mélanger,rehanya (u-); ɓihanya (u-); tsanganisa (u-),FR -> KM,M
mélanger (cartes à jouer),beti (u-),KM -> FR,B
mélanger un liquide,vuvua (u-),FR -> KM,M
mélanger; confondre,rehanya (u-),KM -> FR,R
mélodie,sadji,FR -> KM,M
mémoire,fahama,KM -> FR,F
mémorisation,ɓanga,FR -> KM,M
mépris,darau,KM -> FR,D
mépris; sous-estimation,dharau,KM -> FR,D
mépriser,dharau (u-); nuhu (u-); onea (u-); darau (u-),FR -> KM,M
mépriser; dédaigner; sous-estimer,onea (u-),KM -> FR,O
mériter,stahiki (u-),FR -> KM,M
mérou,muzusi; tsehele mzusi,FR -> KM,M
mésange,sopve,FR -> KM,M
métal,shuma,FR -> KM,M
mêler,guɓanya (u-),KM -> FR,G
même,-enyewe,KM -> FR,E
même si,laukana,KM -> FR,L
même si; bien que,alakini,KM -> FR,A
mûr (être -),iva (u-),FR -> KM,M
mûr (être -); mûrir; cuit (être -),iva (u-),KM -> FR,I
mûrir,dzinya (u-); iva (u-),FR -> KM,M
n'est pas,tsi,FR -> KM,N
n'est pas; pays; sourcil,tsi,KM -> FR,T
n'importe,kwakila,KM -> FR,K
n'importe quoi,malembe,KM -> FR,M
nageoire,piho,FR -> KM,N
nageoire; aile,piho,KM -> FR,P
nager,ela (u-),KM -> FR,E
nain,idugushe,KM -> FR,I
narine,pemɓe ya mbua,FR -> KM,N
nasse,ɗema,FR -> KM,N
nation,twaifa,FR -> KM,N
nationaliser,twaifisha (u-),FR -> KM,N
natte,ɗao,FR -> KM,N
natte tressée avec des folioles de palmier miala,ɗao; ɗalo,FR -> KM,N
nature,ulanga,FR -> KM,N
nature; environnememnt,ulanga,KM -> FR,U
nauséabond,ɓushasha,FR -> KM,N
navire,meli,FR -> KM,N
navire; bateau,meli,KM -> FR,M
"naître (""être né"")",zalwa (u-),FR -> KM,N
nerf,mzi,FR -> KM,N
nerf; artère; racine,mzi,KM -> FR,M
nerveux (pers.),mhali,KM -> FR,M
nettoyer,rahatsa (u-),FR -> KM,N
nettoyer; purifier,rahatsa (u-),KM -> FR,R
neuf,shenɗa; mpia; shendra; -pia,FR -> KM,N
neuf; nouveau,mpia,KM -> FR,M
nez,mbua,KM -> FR,M
ni,wala,FR -> KM,N
ni; celles; ceux,wala,KM -> FR,W
niche,iɗaka,KM -> FR,I
nid,traya; kara,FR -> KM,N
nid; coussinet (de tête),kara,KM -> FR,K
nid; tanière,traya,KM -> FR,T
nier,hana (u-),KM -> FR,H
nigelle,zile ziɗu,FR -> KM,N
niveau,daradja,FR -> KM,N
noble,mtukufu,KM -> FR,M
noble; glorieux,-tukufu,KM -> FR,T
noblesse,ungwana,FR -> KM,N
noces,umɓizo,FR -> KM,N
noeud,fundro,KM -> FR,F
noir,-ɗu; ndziɗu,FR -> KM,N
noir (couleur),ndzilu,FR -> KM,N
noir (pers.),muɗu,KM -> FR,M
Noirceur,uɗu,FR -> KM,N
noix (de cajou),nkorosho,FR -> KM,N
noix de badame,nkaɗaha,FR -> KM,N
noix de cajou,ɓiɓo; nkoroshe,FR -> KM,N
noix de coco,nazi; nadzi,FR -> KM,N
noix de coco (mûre),kole,KM -> FR,K
noix de coco verte,idjavu; shijavu,FR -> KM,N
noix de coco verte; coco-boire,shijavu,KM -> FR,S
nom,dzina,KM -> FR,D
nombre,îdadi,FR -> KM,N
nombre; quantité,îdadi,KM -> FR,I
nombreux,-engi; nyengi; nyindji,FR -> KM,N
nombreux; beaucoup,-engi,KM -> FR,E
nombril,kovu,KM -> FR,K
non,âa,KM -> FR,A
non (pas du tout !),ashe,KM -> FR,A
non mûr,-itsi; mbitsi; ɓitsi,FR -> KM,N
non mûr; vert,mbitsi,KM -> FR,M
normal,-a kawaiɗa,FR -> KM,N
normal; général (adj.),-a kawaiɗa,KM -> FR,A
normalement,kawaiɗa,FR -> KM,N
norme,kawaiɗa,FR -> KM,N
norme; généralement; normalement,kawaiɗa,KM -> FR,K
norouz,nairuzi,FR -> KM,N
nos,-ahatru; zatru; -atru; yatru,FR -> KM,N
nos mères,wanyasi,FR -> KM,N
nostalgie,ɓeshelea,FR -> KM,N
notable (un),mdjulihani,KM -> FR,M
notamment,hususwan,FR -> KM,N
notre,zatru; -atru; yatru,FR -> KM,N
notre; nos,-atru,KM -> FR,A
nouer,funga (u-),FR -> KM,N
nouer (fortement),haza (u-),FR -> KM,N
nourrir,lisa (u-),FR -> KM,N
nourrir; faire manger,lisa (u-),KM -> FR,L
nourriture,riziki; shahula; zio; zilo; shahuɗya,FR -> KM,N
nourriture; repas,shahula,KM -> FR,S
nous,sisi; wasi; -ri-; si,FR -> KM,N
nous aussi,pvatru,FR -> KM,N
nous seuls,wasi ce,FR -> KM,N
nous voici,tsasi,FR -> KM,N
nous-mêmes,wasi,FR -> KM,N
nous; nous-mêmes,wasi,KM -> FR,W
nouveau,nyumeni; mpia; -pia,FR -> KM,N
nouveau; neuf,-pia,KM -> FR,P
nouvelle,haɓari,FR -> KM,N
nouvelle; information; affaire,haɓari,KM -> FR,H
novembre,novembru,FR -> KM,N
noyau,ntruɗa; mbia,FR -> KM,N
noyau; point,ntruɗa,KM -> FR,N
noyer,dzama (u-),KM -> FR,D
noyer; sombrer,zama (u-),KM -> FR,Z
nu,wazi; wadzi,FR -> KM,N
nu; nudité,wazi,KM -> FR,W
nuage,ɓingu; wingu; vingu,FR -> KM,N
nudité,wazi,FR -> KM,N
nuire,dhuru (u-),FR -> KM,N
nuire; blesser moralement,dhuru (u-),KM -> FR,D
nuit,masihu; uku,FR -> KM,N
nuit; soir,masihu,KM -> FR,M
numéro,nambari; numero,FR -> KM,N
Nyumakele,Nyumakele,FR -> KM,N
nécessaire,-a fardhwi,KM -> FR,A
nécessiteux,mhutadji,FR -> KM,N
nécessité,wadjiɓu,FR -> KM,N
négligeant,mpuzi,FR -> KM,N
négligeant; vaurien,mpuzi,KM -> FR,M
négligence,upuzi,FR -> KM,N
négliger (qqun),puzi (u-),FR -> KM,N
négociation,swilaha,FR -> KM,N
o.  aplatissement,mmalazo,KM -> FR,M
o.  habit,vao,KM -> FR,V
objecter,pinga (u-),FR -> KM,O
objectif,makswaɗa,KM -> FR,M
objet,hindru; shitru,FR -> KM,O
objet d'occasion,ɓomɓo,FR -> KM,O
